column,building,observation,stored_precision,origin
B1.month,1,month,float32,CityLearn zero-action observations
B1.day_type,1,day_type,float32,CityLearn zero-action observations
B1.hour,1,hour,float32,CityLearn zero-action observations
B1.outdoor_dry_bulb_temperature,1,outdoor_dry_bulb_temperature,float32,CityLearn zero-action observations
B1.outdoor_dry_bulb_temperature_predicted_6h,1,outdoor_dry_bulb_temperature_predicted_6h,float32,CityLearn zero-action observations
B1.outdoor_dry_bulb_temperature_predicted_12h,1,outdoor_dry_bulb_temperature_predicted_12h,float32,CityLearn zero-action observations
B1.outdoor_dry_bulb_temperature_predicted_24h,1,outdoor_dry_bulb_temperature_predicted_24h,float32,CityLearn zero-action observations
B1.outdoor_relative_humidity,1,outdoor_relative_humidity,float32,CityLearn zero-action observations
B1.outdoor_relative_humidity_predicted_6h,1,outdoor_relative_humidity_predicted_6h,float32,CityLearn zero-action observations
B1.outdoor_relative_humidity_predicted_12h,1,outdoor_relative_humidity_predicted_12h,float32,CityLearn zero-action observations
B1.outdoor_relative_humidity_predicted_24h,1,outdoor_relative_humidity_predicted_24h,float32,CityLearn zero-action observations
B1.diffuse_solar_irradiance,1,diffuse_solar_irradiance,float32,CityLearn zero-action observations
B1.diffuse_solar_irradiance_predicted_6h,1,diffuse_solar_irradiance_predicted_6h,float32,CityLearn zero-action observations
B1.diffuse_solar_irradiance_predicted_12h,1,diffuse_solar_irradiance_predicted_12h,float32,CityLearn zero-action observations
B1.diffuse_solar_irradiance_predicted_24h,1,diffuse_solar_irradiance_predicted_24h,float32,CityLearn zero-action observations
B1.direct_solar_irradiance,1,direct_solar_irradiance,float32,CityLearn zero-action observations
B1.direct_solar_irradiance_predicted_6h,1,direct_solar_irradiance_predicted_6h,float32,CityLearn zero-action observations
B1.direct_solar_irradiance_predicted_12h,1,direct_solar_irradiance_predicted_12h,float32,CityLearn zero-action observations
B1.direct_solar_irradiance_predicted_24h,1,direct_solar_irradiance_predicted_24h,float32,CityLearn zero-action observations
B1.carbon_intensity,1,carbon_intensity,float32,CityLearn zero-action observations
B1.non_shiftable_load,1,non_shiftable_load,float32,CityLearn zero-action observations
B1.solar_generation,1,solar_generation,float32,CityLearn zero-action observations
B1.electrical_storage_soc,1,electrical_storage_soc,float32,CityLearn zero-action observations
B1.net_electricity_consumption,1,net_electricity_consumption,float32,CityLearn zero-action observations
B1.electricity_pricing,1,electricity_pricing,float32,CityLearn zero-action observations
B1.electricity_pricing_predicted_6h,1,electricity_pricing_predicted_6h,float32,CityLearn zero-action observations
B1.electricity_pricing_predicted_12h,1,electricity_pricing_predicted_12h,float32,CityLearn zero-action observations
B1.electricity_pricing_predicted_24h,1,electricity_pricing_predicted_24h,float32,CityLearn zero-action observations
B2.month,2,month,float32,CityLearn zero-action observations
B2.day_type,2,day_type,float32,CityLearn zero-action observations
B2.hour,2,hour,float32,CityLearn zero-action observations
B2.outdoor_dry_bulb_temperature,2,outdoor_dry_bulb_temperature,float32,CityLearn zero-action observations
B2.outdoor_dry_bulb_temperature_predicted_6h,2,outdoor_dry_bulb_temperature_predicted_6h,float32,CityLearn zero-action observations
B2.outdoor_dry_bulb_temperature_predicted_12h,2,outdoor_dry_bulb_temperature_predicted_12h,float32,CityLearn zero-action observations
B2.outdoor_dry_bulb_temperature_predicted_24h,2,outdoor_dry_bulb_temperature_predicted_24h,float32,CityLearn zero-action observations
B2.outdoor_relative_humidity,2,outdoor_relative_humidity,float32,CityLearn zero-action observations
B2.outdoor_relative_humidity_predicted_6h,2,outdoor_relative_humidity_predicted_6h,float32,CityLearn zero-action observations
B2.outdoor_relative_humidity_predicted_12h,2,outdoor_relative_humidity_predicted_12h,float32,CityLearn zero-action observations
B2.outdoor_relative_humidity_predicted_24h,2,outdoor_relative_humidity_predicted_24h,float32,CityLearn zero-action observations
B2.diffuse_solar_irradiance,2,diffuse_solar_irradiance,float32,CityLearn zero-action observations
B2.diffuse_solar_irradiance_predicted_6h,2,diffuse_solar_irradiance_predicted_6h,float32,CityLearn zero-action observations
B2.diffuse_solar_irradiance_predicted_12h,2,diffuse_solar_irradiance_predicted_12h,float32,CityLearn zero-action observations
B2.diffuse_solar_irradiance_predicted_24h,2,diffuse_solar_irradiance_predicted_24h,float32,CityLearn zero-action observations
B2.direct_solar_irradiance,2,direct_solar_irradiance,float32,CityLearn zero-action observations
B2.direct_solar_irradiance_predicted_6h,2,direct_solar_irradiance_predicted_6h,float32,CityLearn zero-action observations
B2.direct_solar_irradiance_predicted_12h,2,direct_solar_irradiance_predicted_12h,float32,CityLearn zero-action observations
B2.direct_solar_irradiance_predicted_24h,2,direct_solar_irradiance_predicted_24h,float32,CityLearn zero-action observations
B2.carbon_intensity,2,carbon_intensity,float32,CityLearn zero-action observations
B2.non_shiftable_load,2,non_shiftable_load,float32,CityLearn zero-action observations
B2.solar_generation,2,solar_generation,float32,CityLearn zero-action observations
B2.electrical_storage_soc,2,electrical_storage_soc,float32,CityLearn zero-action observations
B2.net_electricity_consumption,2,net_electricity_consumption,float32,CityLearn zero-action observations
B2.electricity_pricing,2,electricity_pricing,float32,CityLearn zero-action observations
B2.electricity_pricing_predicted_6h,2,electricity_pricing_predicted_6h,float32,CityLearn zero-action observations
B2.electricity_pricing_predicted_12h,2,electricity_pricing_predicted_12h,float32,CityLearn zero-action observations
B2.electricity_pricing_predicted_24h,2,electricity_pricing_predicted_24h,float32,CityLearn zero-action observations
B3.month,3,month,float32,CityLearn zero-action observations
B3.day_type,3,day_type,float32,CityLearn zero-action observations
B3.hour,3,hour,float32,CityLearn zero-action observations
B3.outdoor_dry_bulb_temperature,3,outdoor_dry_bulb_temperature,float32,CityLearn zero-action observations
B3.outdoor_dry_bulb_temperature_predicted_6h,3,outdoor_dry_bulb_temperature_predicted_6h,float32,CityLearn zero-action observations
B3.outdoor_dry_bulb_temperature_predicted_12h,3,outdoor_dry_bulb_temperature_predicted_12h,float32,CityLearn zero-action observations
B3.outdoor_dry_bulb_temperature_predicted_24h,3,outdoor_dry_bulb_temperature_predicted_24h,float32,CityLearn zero-action observations
B3.outdoor_relative_humidity,3,outdoor_relative_humidity,float32,CityLearn zero-action observations
B3.outdoor_relative_humidity_predicted_6h,3,outdoor_relative_humidity_predicted_6h,float32,CityLearn zero-action observations
B3.outdoor_relative_humidity_predicted_12h,3,outdoor_relative_humidity_predicted_12h,float32,CityLearn zero-action observations
B3.outdoor_relative_humidity_predicted_24h,3,outdoor_relative_humidity_predicted_24h,float32,CityLearn zero-action observations
B3.diffuse_solar_irradiance,3,diffuse_solar_irradiance,float32,CityLearn zero-action observations
B3.diffuse_solar_irradiance_predicted_6h,3,diffuse_solar_irradiance_predicted_6h,float32,CityLearn zero-action observations
