B1.month,B1.day_type,B1.hour,B1.outdoor_dry_bulb_temperature,B1.outdoor_dry_bulb_temperature_predicted_6h,B1.outdoor_dry_bulb_temperature_predicted_12h,B1.outdoor_dry_bulb_temperature_predicted_24h,B1.outdoor_relative_humidity,B1.outdoor_relative_humidity_predicted_6h,B1.outdoor_relative_humidity_predicted_12h,B1.outdoor_relative_humidity_predicted_24h,B1.diffuse_solar_irradiance,B1.diffuse_solar_irradiance_predicted_6h,B1.diffuse_solar_irradiance_predicted_12h,B1.diffuse_solar_irradiance_predicted_24h,B1.direct_solar_irradiance,B1.direct_solar_irradiance_predicted_6h,B1.direct_solar_irradiance_predicted_12h,B1.direct_solar_irradiance_predicted_24h,B1.carbon_intensity,B1.non_shiftable_load,B1.solar_generation,B1.electrical_storage_soc,B1.net_electricity_consumption,B1.electricity_pricing,B1.electricity_pricing_predicted_6h,B1.electricity_pricing_predicted_12h,B1.electricity_pricing_predicted_24h,B2.month,B2.day_type,B2.hour,B2.outdoor_dry_bulb_temperature,B2.outdoor_dry_bulb_temperature_predicted_6h,B2.outdoor_dry_bulb_temperature_predicted_12h,B2.outdoor_dry_bulb_temperature_predicted_24h,B2.outdoor_relative_humidity,B2.outdoor_relative_humidity_predicted_6h,B2.outdoor_relative_humidity_predicted_12h,B2.outdoor_relative_humidity_predicted_24h,B2.diffuse_solar_irradiance,B2.diffuse_solar_irradiance_predicted_6h,B2.diffuse_solar_irradiance_predicted_12h,B2.diffuse_solar_irradiance_predicted_24h,B2.direct_solar_irradiance,B2.direct_solar_irradiance_predicted_6h,B2.direct_solar_irradiance_predicted_12h,B2.direct_solar_irradiance_predicted_24h,B2.carbon_intensity,B2.non_shiftable_load,B2.solar_generation,B2.electrical_storage_soc,B2.net_electricity_consumption,B2.electricity_pricing,B2.electricity_pricing_predicted_6h,B2.electricity_pricing_predicted_12h,B2.electricity_pricing_predicted_24h,B3.month,B3.day_type,B3.hour,B3.outdoor_dry_bulb_temperature,B3.outdoor_dry_bulb_temperature_predicted_6h,B3.outdoor_dry_bulb_temperature_predicted_12h,B3.outdoor_dry_bulb_temperature_predicted_24h,B3.outdoor_relative_humidity,B3.outdoor_relative_humidity_predicted_6h,B3.outdoor_relative_humidity_predicted_12h,B3.outdoor_relative_humidity_predicted_24h,B3.diffuse_solar_irradiance,B3.diffuse_solar_irradiance_predicted_6h,B3.diffuse_solar_irradiance_predicted_12h,B3.diffuse_solar_irradiance_predicted_24h,B3.direct_solar_irradiance,B3.direct_solar_irradiance_predicted_6h,B3.direct_solar_irradiance_predicted_12h,B3.direct_solar_irradiance_predicted_24h,B3.carbon_intensity,B3.non_shiftable_load,B3.solar_generation,B3.electrical_storage_soc,B3.net_electricity_consumption,B3.electricity_pricing,B3.electricity_pricing_predicted_6h,B3.electricity_pricing_predicted_12h,B3.electricity_pricing_predicted_24h,B4.month,B4.day_type,B4.hour,B4.outdoor_dry_bulb_temperature,B4.outdoor_dry_bulb_temperature_predicted_6h,B4.outdoor_dry_bulb_temperature_predicted_12h,B4.outdoor_dry_bulb_temperature_predicted_24h,B4.outdoor_relative_humidity,B4.outdoor_relative_humidity_predicted_6h,B4.outdoor_relative_humidity_predicted_12h,B4.outdoor_relative_humidity_predicted_24h,B4.diffuse_solar_irradiance,B4.diffuse_solar_irradiance_predicted_6h,B4.diffuse_solar_irradiance_predicted_12h,B4.diffuse_solar_irradiance_predicted_24h,B4.direct_solar_irradiance,B4.direct_solar_irradiance_predicted_6h,B4.direct_solar_irradiance_predicted_12h,B4.direct_solar_irradiance_predicted_24h,B4.carbon_intensity,B4.non_shiftable_load,B4.solar_generation,B4.electrical_storage_soc,B4.net_electricity_consumption,B4.electricity_pricing,B4.electricity_pricing_predicted_6h,B4.electricity_pricing_predicted_12h,B4.electricity_pricing_predicted_24h,B5.month,B5.day_type,B5.hour,B5.outdoor_dry_bulb_temperature,B5.outdoor_dry_bulb_temperature_predicted_6h,B5.outdoor_dry_bulb_temperature_predicted_12h,B5.outdoor_dry_bulb_temperature_predicted_24h,B5.outdoor_relative_humidity,B5.outdoor_relative_humidity_predicted_6h,B5.outdoor_relative_humidity_predicted_12h,B5.outdoor_relative_humidity_predicted_24h,B5.diffuse_solar_irradiance,B5.diffuse_solar_irradiance_predicted_6h,B5.diffuse_solar_irradiance_predicted_12h,B5.diffuse_solar_irradiance_predicted_24h,B5.direct_solar_irradiance,B5.direct_solar_irradiance_predicted_6h,B5.direct_solar_irradiance_predicted_12h,B5.direct_solar_irradiance_predicted_24h,B5.carbon_intensity,B5.non_shiftable_load,B5.solar_generation,B5.electrical_storage_soc,B5.net_electricity_consumption,B5.electricity_pricing,B5.electricity_pricing_predicted_6h,B5.electricity_pricing_predicted_12h,B5.electricity_pricing_predicted_24h
7,7,24,20,18.2999992,22.7999992,20,84,81,68,81,0,25,964,0,0,100,815,0,0.170724407,1.49451661,0,0,1.49451661,0.219999999,0.219999999,0.219999999,0.219999999,7,7,24,20,18.2999992,22.7999992,20,84,81,68,81,0,25,964,0,0,100,815,0,0.170724407,0.770716667,0,0,0.770716667,0.219999999,0.219999999,0.219999999,0.219999999,7,7,24,20,18.2999992,22.7999992,20,84,81,68,81,0,25,964,0,0,100,815,0,0.170724407,9.75290959e-08,0,0,9.75290959e-08,0.219999999,0.219999999,0.219999999,0.219999999,7,7,24,20,18.2999992,22.7999992,20,84,81,68,81,0,25,964,0,0,100,815,0,0.170724407,0.63045001,0,0,0.63045001,0.219999999,0.219999999,0.219999999,0.219999999,7,7,24,20,18.2999992,22.7999992,20,84,81,68,81,0,25,964,0,0,100,815,0,0.170724407,0.545700014,0,0,0.545700014,0.219999999,0.219999999,0.219999999,0.219999999
8,1,1,20.1000004,19.3999996,22.7999992,19.3999996,79,79,71,87,0,201,966,0,0,444,747,0,0.157319054,1.18534994,0,0,1.18534994,0.219999999,0.219999999,0.219999999,0.219999999,8,1,1,20.1000004,19.3999996,22.7999992,19.3999996,79,79,71,87,0,201,966,0,0,444,747,0,0.157319054,0.891749978,0,0,0.891749978,0.219999999,0.219999999,0.219999999,0.219999999,8,1,1,20.1000004,19.3999996,22.7999992,19.3999996,79,79,71,87,0,201,966,0,0,444,747,0,0.157319054,9.9182131e-08,0,0,9.9182131e-08,0.219999999,0.219999999,0.219999999,0.219999999,8,1,1,20.1000004,19.3999996,22.7999992,19.3999996,79,79,71,87,0,201,966,0,0,444,747,0,0.157319054,0.816866696,0,0,0.816866696,0.219999999,0.219999999,0.219999999,0.219999999,8,1,1,20.1000004,19.3999996,22.7999992,19.3999996,79,79,71,87,0,201,966,0,0,444,747,0,0.157319054,0.550677776,0,0,0.550677776,0.219999999,0.219999999,0.219999999,0.219999999
8,1,2,19.7000008,21.1000004,22.2000008,19.3999996,78,73,73,87,0,420,683,0,0,592,291,0,0.154502556,1.21060002,0,0,1.21060002,0.219999999,0.219999999,0.219999999,0.219999999,8,1,2,19.7000008,21.1000004,22.2000008,19.3999996,78,73,73,87,0,420,683,0,0,592,291,0,0.154502556,1.426,0,0,1.426,0.219999999,0.219999999,0.219999999,0.219999999,8,1,2,19.7000008,21.1000004,22.2000008,19.3999996,78,73,73,87,0,420,683,0,0,592,291,0,0.154502556,9.9182131e-08,0,0,9.9182131e-08,0.219999999,0.219999999,0.219999999,0.219999999,8,1,2,19.7000008,21.1000004,22.2000008,19.3999996,78,73,73,87,0,420,683,0,0,592,291,0,0.154502556,0.928533316,0,0,0.928533316,0.219999999,0.219999999,0.219999999,0.219999999,8,1,2,19.7000008,21.1000004,22.2000008,19.3999996,78,73,73,87,0,420,683,0,0,592,291,0,0.154502556,0.333083332,0,0,0.333083332,0.219999999,0.219999999,0.219999999,0.219999999
8,1,3,19.2999992,22.2000008,22.7999992,19.3999996,78,71,71,90,0,554,522,0,0,491,153,0,0.150944874,1.51201665,0,0,1.51201665,0.219999999,0.219999999,0.219999999,0.219999999,8,1,3,19.2999992,22.2000008,22.7999992,19.3999996,78,71,71,90,0,554,522,0,0,491,153,0,0.150944874,0.234549999,0,0,0.234549999,0.219999999,0.219999999,0.219999999,0.219999999,8,1,3,19.2999992,22.2000008,22.7999992,19.3999996,78,71,71,90,0,554,522,0,0,491,153,0,0.150944874,9.9182131e-08,0,0,9.9182131e-08,0.219999999,0.219999999,0.219999999,0.219999999,8,1,3,19.2999992,22.2000008,22.7999992,19.3999996,78,71,71,90,0,554,522,0,0,491,153,0,0.150944874,0.401066661,0,0,0.401066661,0.219999999,0.219999999,0.219999999,0.219999999,8,1,3,19.2999992,22.2000008,22.7999992,19.3999996,78,71,71,90,0,554,522,0,0,491,153,0,0.150944874,0.322655559,0,0,0.322655559,0.219999999,0.219999999,0.219999999,0.219999999
8,1,4,18.8999996,21.7000008,22.2000008,18.8999996,78,73,71,90,0,778,444,0,0,734,174,0,0.15181987,2.55788326,0,0,2.55788326,0.219999999,0.219999999,0.540000021,0.219999999,8,1,4,18.8999996,21.7000008,22.2000008,18.8999996,78,73,71,90,0,778,444,0,0,734,174,0,0.15181987,0.235300004,0,0,0.235300004,0.219999999,0.219999999,0.540000021,0.219999999,8,1,4,18.8999996,21.7000008,22.2000008,18.8999996,78,73,71,90,0,778,444,0,0,734,174,0,0.15181987,9.9182131e-08,0,0,9.9182131e-08,0.219999999,0.219999999,0.540000021,0.219999999,8,1,4,18.8999996,21.7000008,22.2000008,18.8999996,78,73,71,90,0,778,444,0,0,734,174,0,0.15181987,0.967850029,0,0,0.967850029,0.219999999,0.219999999,0.540000021,0.219999999,8,1,4,18.8999996,21.7000008,22.2000008,18.8999996,78,73,71,90,0,778,444,0,0,734,174,0,0.15181987,0.320600003,0,0,0.320600003,0.219999999,0.219999999,0.540000021,0.219999999
8,1,5,18.2999992,22.2000008,21.1000004,18.2999992,81,71,76,93,0,903,392,0,0,811,396,0,0.158088222,0.942883313,0,0,0.942883313,0.219999999,0.219999999,0.540000021,0.219999999,8,1,5,18.2999992,22.2000008,21.1000004,18.2999992,81,71,76,93,0,903,392,0,0,811,396,0,0.158088222,0.294816673,0,0,0.294816673,0.219999999,0.219999999,0.540000021,0.219999999,8,1,5,18.2999992,22.2000008,21.1000004,18.2999992,81,71,76,93,0,903,392,0,0,811,396,0,0.158088222,9.9182131e-08,0,0,9.9182131e-08,0.219999999,0.219999999,0.540000021,0.219999999,8,1,5,18.2999992,22.2000008,21.1000004,18.2999992,81,71,76,93,0,903,392,0,0,811,396,0,0.158088222,0.398083329,0,0,0.398083329,0.219999999,0.219999999,0.540000021,0.219999999,8,1,5,18.2999992,22.2000008,21.1000004,18.2999992,81,71,76,93,0,903,392,0,0,811,396,0,0.158088222,0.331188887,0,0,0.331188887,0.219999999,0.219999999,0.540000021,0.219999999
8,1,6,18.2999992,22.7999992,20.6000004,18.8999996,81,68,78,90,25,964,231,15,100,815,320,14,0.161939368,0.856350005,0.129749998,0,0.726599991,0.219999999,0.219999999,0.540000021,0.219999999,8,1,6,18.2999992,22.7999992,20.6000004,18.8999996,81,68,78,90,25,964,231,15,100,815,320,14,0.161939368,0.267699987,0,0,0.267699987,0.219999999,0.219999999,0.540000021,0.219999999,8,1,6,18.2999992,22.7999992,20.6000004,18.8999996,81,68,78,90,25,964,231,15,100,815,320,14,0.161939368,0.00863341801,0.041650001,0,-0.0330165811,0.219999999,0.219999999,0.540000021,0.219999999,8,1,6,18.2999992,22.7999992,20.6000004,18.8999996,81,68,78,90,25,964,231,15,100,815,320,14,0.161939368,0.990949988,0.0239499994,0,0.967000008,0.219999999,0.219999999,0.540000021,0.219999999,8,1,6,18.2999992,22.7999992,20.6000004,18.8999996,81,68,78,90,25,964,231,15,100,815,320,14,0.161939368,0.703999996,0.0428166687,0,0.661183357,0.219999999,0.219999999,0.540000021,0.219999999
8,1,7,19.3999996,22.7999992,20.6000004,20,79,71,73,87,201,966,27,116,444,747,143,42,0.164345965,0.925883353,0.730516672,0,0.195366666,0.219999999,0.219999999,0.540000021,0.219999999,8,1,7,19.3999996,22.7999992,20.6000004,20,79,71,73,87,201,966,27,116,444,747,143,42,0.164345965,0.547349989,0,0,0.547349989,0.219999999,0.219999999,0.540000021,0.219999999,8,1,7,19.3999996,22.7999992,20.6000004,20,79,71,73,87,201,966,27,116,444,747,143,42,0.164345965,0.304750025,0.403149992,0,-0.0983999819,0.219999999,0.219999999,0.540000021,0.219999999,8,1,7,19.3999996,22.7999992,20.6000004,20,79,71,73,87,201,966,27,116,444,747,143,42,0.164345965,0.943666637,0.127550006,0,0.816116691,0.219999999,0.219999999,0.540000021,0.219999999,8,1,7,19.3999996,22.7999992,20.6000004,20,79,71,73,87,201,966,27,116,444,747,143,42,0.164345965,0.586283326,0.151766673,0,0.434516668,0.219999999,0.219999999,0.540000021,0.219999999
8,1,8,21.1000004,22.2000008,20,20,73,73,76,87,420,683,0,252,592,291,0,74,0.190998152,2.0711,1.42498338,0,0.646116674,0.219999999,0.219999999,0.540000021,0.219999999,8,1,8,21.1000004,22.2000008,20,20,73,73,76,87,420,683,0,252,592,291,0,74,0.190998152,0.312366664,0,0,0.312366664,0.219999999,0.219999999,0.540000021,0.219999999,8,1,8,21.1000004,22.2000008,20,20,73,73,76,87,420,683,0,252,592,291,0,74,0.190998152,0.538866758,1.03291667,0,-0.494049907,0.219999999,0.219999999,0.540000021,0.219999999,8,1,8,21.1000004,22.2000008,20,20,73,73,76,87,420,683,0,252,592,291,0,74,0.190998152,2.01741672,0.400066674,0,1.61734998,0.219999999,0.219999999,0.540000021,0.219999999,8,1,8,21.1000004,22.2000008,20,20,73,73,76,87,420,683,0,252,592,291,0,74,0.190998152,0.254722208,0.497811109,0,-0.243088886,0.219999999,0.219999999,0.540000021,0.219999999
8,1,9,22.2000008,22.7999992,20.6000004,20,71,71,70,84,554,522,0,292,491,153,0,35,0.20289886,3.33535004,2.0181334,0,1.31721663,0.219999999,0.219999999,0.219999999,0.219999999,8,1,9,22.2000008,22.7999992,20.6000004,20,71,71,70,84,554,522,0,292,491,153,0,35,0.20289886,0.404399991,0,0,0.404399991,0.219999999,0.219999999,0.219999999,0.219999999,8,1,9,22.2000008,22.7999992,20.6000004,20,71,71,70,84,554,522,0,292,491,153,0,35,0.20289886,1.30503333,1.69453335,0,-0.389499992,0.219999999,0.219999999,0.219999999,0.219999999,8,1,9,22.2000008,22.7999992,20.6000004,20,71,71,70,84,554,522,0,292,491,153,0,35,0.20289886,3.11418343,0.952916682,0,2.16126657,0.219999999,0.219999999,0.219999999,0.219999999,8,1,9,22.2000008,22.7999992,20.6000004,20,71,71,70,84,554,522,0,292,491,153,0,35,0.20289886,0.256616652,1.15126669,0,-0.894649982,0.219999999,0.219999999,0.219999999,0.219999999
