arm,cohort,method,case_id,attack,window,severity,terminal,selected_building,selected_channel,operation,attempts,inspections,correct_target,calls,invalid_calls,input_tokens,output_tokens,model_call_seconds,current_graph_seconds,inference_graph_seconds,source,transport_ok,input_sha256,response_file_sha256,state_file,timing_origin,error_before,error_after,improved,harmed,unchanged,collateral_error,changed_entries,target_rmse_before,target_rmse_after
rules,phase_1,guarded_rules,clean_w1,,1,clean,abstained,0,none,NONE,0,0,False,0,0,0,0,0.0,0.013816500024404377,0.013816500024404377,deterministic_rules,True,af21d85251def5e552352c9c8f12dc4e058229f0af2aac7f80587866a18cc2e3,1a2bcdbb8e91393f1c9cf85e640889a1f09893db77d479b04fb7e27ae207c482,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\rules\phase_1\guarded_rules\states\clean_w1\response.npz,current execution,0.0,0.0,False,False,True,0.0,0,,
replay,phase_1,llama_one_pass,clean_w1,,1,clean,abstained,0,none,NONE,0,0,False,0,0,0,0,0.0,0.011635899951215833,0.01192290400013,llama_archived_replay,True,af21d85251def5e552352c9c8f12dc4e058229f0af2aac7f80587866a18cc2e3,1a2bcdbb8e91393f1c9cf85e640889a1f09893db77d479b04fb7e27ae207c482,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\replay\phase_1\llama_one_pass\states\clean_w1\response.npz,historical live calls,0.0,0.0,False,False,True,0.0,0,,
replay,phase_1,llama_langgraph,clean_w1,,1,clean,abstained,0,none,NONE,0,0,False,0,0,0,0,0.0,0.01088969997363165,0.0095887059997039,llama_archived_replay,True,af21d85251def5e552352c9c8f12dc4e058229f0af2aac7f80587866a18cc2e3,1a2bcdbb8e91393f1c9cf85e640889a1f09893db77d479b04fb7e27ae207c482,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\replay\phase_1\llama_langgraph\states\clean_w1\response.npz,historical live calls,0.0,0.0,False,False,True,0.0,0,,
rules,phase_1,guarded_rules,original_market_hack_b3_w1,market_hack,1,original,committed,3,electricity_pricing,PEER_CONSENSUS,1,0,True,0,0,0,0,0.0,0.015084600017871708,0.015084600017871708,deterministic_rules,True,ced95d9361c0efa1ffff9ed2b44c1a0ae811aae17df62a144f892558c9d8033e,0f2fec2bbe1aa9c2b29fb993dd5a3539ed6c38883bdd497f0d9bbd05da876a6e,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\rules\phase_1\guarded_rules\states\original_market_hack_b3_w1\response.npz,current execution,0.0003537005257868367,0.0,True,False,False,0.0,168,0.12016435166998504,0.0
replay,phase_1,llama_one_pass,original_market_hack_b3_w1,market_hack,1,original,committed,3,electricity_pricing,CONDITIONAL_MODEL,1,0,True,2,0,1260,87,11.263147724000191,0.016087900032289326,11.302347764000388,llama_archived_replay,True,ced95d9361c0efa1ffff9ed2b44c1a0ae811aae17df62a144f892558c9d8033e,faa6c637ac34c270dfa4db43607bb21c9ecf5c130eb5ac444253c8f94365b7e9,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\replay\phase_1\llama_one_pass\states\original_market_hack_b3_w1\response.npz,historical live calls,0.0003537005257868367,2.894488148687785e-10,True,False,False,0.0,168,0.12016435166998504,0.00010870353884437605
replay,phase_1,llama_langgraph,original_market_hack_b3_w1,market_hack,1,original,committed,3,electricity_pricing,CONDITIONAL_MODEL,1,0,True,2,0,1258,92,8.05103119200021,0.01578780001727864,8.078882224000154,llama_archived_replay,True,ced95d9361c0efa1ffff9ed2b44c1a0ae811aae17df62a144f892558c9d8033e,faa6c637ac34c270dfa4db43607bb21c9ecf5c130eb5ac444253c8f94365b7e9,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\replay\phase_1\llama_langgraph\states\original_market_hack_b3_w1\response.npz,historical live calls,0.0003537005257868367,2.894488148687785e-10,True,False,False,0.0,168,0.12016435166998504,0.00010870353884437605
rules,phase_1,guarded_rules,original_meter_hack_b3_w1,meter_hack,1,original,committed,3,non_shiftable_load,ENERGY_BALANCE,1,0,True,0,0,0,0,0.0,0.015965000027790666,0.015965000027790666,deterministic_rules,True,26301d60e22c96fd02f20ca38af373e4e571c0c8c2c5ca24cdafca4d52352e21,7ff746450be0866ba1f6103e459e1c3900e108515d7932661043e4f9952673f8,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\rules\phase_1\guarded_rules\states\original_meter_hack_b3_w1\response.npz,current execution,4.471961485388274e-05,7.563349175090246e-08,True,False,False,0.0,162,0.20931826028589068,0.008608255815614833
replay,phase_1,llama_one_pass,original_meter_hack_b3_w1,meter_hack,1,original,committed,3,non_shiftable_load,ENERGY_BALANCE,1,0,True,2,0,1329,69,11.983515697000257,0.015124900033697486,12.058721835000142,llama_archived_replay,True,26301d60e22c96fd02f20ca38af373e4e571c0c8c2c5ca24cdafca4d52352e21,7ff746450be0866ba1f6103e459e1c3900e108515d7932661043e4f9952673f8,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\replay\phase_1\llama_one_pass\states\original_meter_hack_b3_w1\response.npz,historical live calls,4.471961485388274e-05,7.563349175090246e-08,True,False,False,0.0,162,0.20931826028589068,0.008608255815614833
replay,phase_1,llama_langgraph,original_meter_hack_b3_w1,meter_hack,1,original,committed,3,non_shiftable_load,ENERGY_BALANCE,1,0,True,2,0,1333,84,9.868289131999973,0.016715799982193857,9.903307907999988,llama_archived_replay,True,26301d60e22c96fd02f20ca38af373e4e571c0c8c2c5ca24cdafca4d52352e21,7ff746450be0866ba1f6103e459e1c3900e108515d7932661043e4f9952673f8,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\replay\phase_1\llama_langgraph\states\original_meter_hack_b3_w1\response.npz,historical live calls,4.471961485388274e-05,7.563349175090246e-08,True,False,False,0.0,162,0.20931826028589068,0.008608255815614833
rules,phase_1,guarded_rules,original_inverter_hack_b3_w1,inverter_hack,1,original,committed,3,solar_generation,ENERGY_BALANCE,1,0,True,0,0,0,0,0.0,0.015686200000345707,0.015686200000345707,deterministic_rules,True,86d1b989248eafa3b657450a3d79a2423c8d01537415f85a579f666f47cab0cb,2b901d95e728543a9ca08d3a735f741b2787e15d8bec0049455713f9923a2954,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\rules\phase_1\guarded_rules\states\original_inverter_hack_b3_w1\response.npz,current execution,0.0011321789831000063,2.7156321693220458e-08,True,False,False,0.0,79,0.9403230958650536,0.004605269298997961
replay,phase_1,llama_one_pass,original_inverter_hack_b3_w1,inverter_hack,1,original,committed,3,solar_generation,ENERGY_BALANCE,1,0,True,2,0,1323,72,14.115699494000182,0.016655899991746992,14.160790359999735,llama_archived_replay,True,86d1b989248eafa3b657450a3d79a2423c8d01537415f85a579f666f47cab0cb,2b901d95e728543a9ca08d3a735f741b2787e15d8bec0049455713f9923a2954,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\replay\phase_1\llama_one_pass\states\original_inverter_hack_b3_w1\response.npz,historical live calls,0.0011321789831000063,2.7156321693220458e-08,True,False,False,0.0,79,0.9403230958650536,0.004605269298997961
replay,phase_1,llama_langgraph,original_inverter_hack_b3_w1,inverter_hack,1,original,committed,3,solar_generation,ENERGY_BALANCE,1,0,True,2,0,1323,71,6.736813299000005,0.01605490001384169,6.768947856000068,llama_archived_replay,True,86d1b989248eafa3b657450a3d79a2423c8d01537415f85a579f666f47cab0cb,2b901d95e728543a9ca08d3a735f741b2787e15d8bec0049455713f9923a2954,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\replay\phase_1\llama_langgraph\states\original_inverter_hack_b3_w1\response.npz,historical live calls,0.0011321789831000063,2.7156321693220458e-08,True,False,False,0.0,79,0.9403230958650536,0.004605269298997961
rules,phase_1,guarded_rules,original_time_spoofing_b3_w1,time_spoofing,1,original,committed,3,hour,PEER_CONSENSUS,1,0,True,0,0,0,0,0.0,0.01730950002092868,0.01730950002092868,deterministic_rules,True,eaff5a2fe554185d1ff04ac2868da757af951ed11b7748c37e7bb0c926ee1586,93b326d73aee381aba97dadee0cf2e7ad82e0d1ef9f4e603dda32ef59ed9dfc7,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\rules\phase_1\guarded_rules\states\original_time_spoofing_b3_w1\response.npz,current execution,0.00019841269841269839,0.0,True,False,False,0.0,168,4.0,0.0
replay,phase_1,llama_one_pass,original_time_spoofing_b3_w1,time_spoofing,1,original,committed,3,hour,CONDITIONAL_MODEL,1,0,True,2,0,1250,78,11.59373879299983,0.01608560001477599,11.643940173999908,llama_archived_replay,True,eaff5a2fe554185d1ff04ac2868da757af951ed11b7748c37e7bb0c926ee1586,93b326d73aee381aba97dadee0cf2e7ad82e0d1ef9f4e603dda32ef59ed9dfc7,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\replay\phase_1\llama_one_pass\states\original_time_spoofing_b3_w1\response.npz,historical live calls,0.00019841269841269839,0.0,True,False,False,0.0,168,4.0,0.0
replay,phase_1,llama_langgraph,original_time_spoofing_b3_w1,time_spoofing,1,original,committed,3,hour,CONDITIONAL_MODEL,1,0,True,2,0,1250,78,5.922012589000133,0.018258699972648174,5.937906616999953,llama_archived_replay,True,eaff5a2fe554185d1ff04ac2868da757af951ed11b7748c37e7bb0c926ee1586,93b326d73aee381aba97dadee0cf2e7ad82e0d1ef9f4e603dda32ef59ed9dfc7,C:\Users\f00863x\Downloads\CommunityGuard_AI_Tutorial_Only (2)\CommunityGuard_AI_Tutorial\results\live_compare_20260919_173711_210453\replay\phase_1\llama_langgraph\states\original_time_spoofing_b3_w1\response.npz,historical live calls,0.00019841269841269839,0.0,True,False,False,0.0,168,4.0,0.0
