cohort,case_id,method,call,replay_present,live_present,same_prompt,same_response_text,same_parsed_decision,input_tokens_replay,input_tokens_live,output_tokens_replay,output_tokens_live,live_error
phase_1,original_market_hack_b3_w1,llama_one_pass,forensics_0_0.json,True,True,True,False,False,732,732,57,55,
phase_1,original_market_hack_b3_w1,llama_one_pass,planning_0_0.json,True,True,False,False,False,528,526,30,22,
phase_1,original_market_hack_b3_w1,llama_langgraph,forensics_0_0.json,True,True,True,False,False,732,732,55,57,
phase_1,original_market_hack_b3_w1,llama_langgraph,planning_0_0.json,True,True,False,False,False,526,528,37,25,
phase_1,original_meter_hack_b3_w1,llama_one_pass,forensics_0_0.json,True,True,True,False,False,742,742,47,56,
phase_1,original_meter_hack_b3_w1,llama_one_pass,planning_0_0.json,True,True,False,False,False,587,596,22,35,
phase_1,original_meter_hack_b3_w1,llama_langgraph,forensics_0_0.json,True,True,True,False,False,742,742,51,56,
phase_1,original_meter_hack_b3_w1,llama_langgraph,planning_0_0.json,True,True,False,False,False,591,596,33,39,
phase_1,original_inverter_hack_b3_w1,llama_one_pass,forensics_0_0.json,True,True,True,True,True,741,741,45,45,
phase_1,original_inverter_hack_b3_w1,llama_one_pass,planning_0_0.json,True,True,True,False,False,582,582,27,26,
phase_1,original_inverter_hack_b3_w1,llama_langgraph,forensics_0_0.json,True,True,True,True,True,741,741,45,45,
phase_1,original_inverter_hack_b3_w1,llama_langgraph,planning_0_0.json,True,True,True,False,False,582,582,26,26,
phase_1,original_time_spoofing_b3_w1,llama_one_pass,forensics_0_0.json,True,True,True,True,True,729,729,52,52,
phase_1,original_time_spoofing_b3_w1,llama_one_pass,planning_0_0.json,True,True,True,True,True,521,521,26,26,
phase_1,original_time_spoofing_b3_w1,llama_langgraph,forensics_0_0.json,True,True,True,True,True,729,729,52,52,
phase_1,original_time_spoofing_b3_w1,llama_langgraph,planning_0_0.json,True,True,True,True,True,521,521,26,26,
