arm,method,attack,records,mean_target_rmse,improved,harmed
live,llama_langgraph,inverter_hack,1,0.004605269298997961,1,0
live,llama_langgraph,market_hack,1,0.00010870353884437605,1,0
live,llama_langgraph,meter_hack,1,0.008608255815614833,1,0
live,llama_langgraph,time_spoofing,1,0.0,1,0
live,llama_one_pass,inverter_hack,1,0.004605269298997961,1,0
live,llama_one_pass,market_hack,1,0.00010870353884437605,1,0
live,llama_one_pass,meter_hack,1,0.008608255815614833,1,0
live,llama_one_pass,time_spoofing,1,0.0,1,0
replay,llama_langgraph,inverter_hack,1,0.004605269298997961,1,0
replay,llama_langgraph,market_hack,1,0.00010870353884437605,1,0
replay,llama_langgraph,meter_hack,1,0.008608255815614833,1,0
replay,llama_langgraph,time_spoofing,1,0.0,1,0
replay,llama_one_pass,inverter_hack,1,0.004605269298997961,1,0
replay,llama_one_pass,market_hack,1,0.00010870353884437605,1,0
replay,llama_one_pass,meter_hack,1,0.008608255815614833,1,0
replay,llama_one_pass,time_spoofing,1,0.0,1,0
rules,guarded_rules,inverter_hack,1,0.004605269298997961,1,0
rules,guarded_rules,market_hack,1,0.0,1,0
rules,guarded_rules,meter_hack,1,0.008608255815614833,1,0
rules,guarded_rules,time_spoofing,1,0.0,1,0
